provider_name,country,provided_name,share_provided,year
ACM Research,USA,Wet etching and cleaning tools,11.4,2024
ACM Research,USA,Etch and clean tools,3.0,2024
AMEC,CHN,Dry etching tools (adv. pkg.),18.1,2024
AMEC,CHN,Dry etch tools,5.5,2024
AMEC,CHN,Fabrication tools (for advanced packaging),2.5,2024
AMEC,CHN,Etch and clean tools (adv. pkg.),12.2,2024
AMEC,CHN,Low-pressure CVD tools,1.2,2024
AMEC,CHN,Dry etching and cleaning tools,5.3,2024
AMEC,CHN,Conductor etching tools,1.4,2024
AMEC,CHN,Insulator etching tools,9.7,2024
AMEC,CHN,Etch and clean tools,3.5,2024
AP Systems,KOR,Rapid thermal processing tools,1.2,2024
APIC Yamada,JPN,Packaging tools,11.7,2024
ASM International,NLD,CVD tools (adv. pkg.),2.8,2024
ASM International,NLD,Other deposition tools (non-IC),12.4,2024
ASM International,NLD,Deposition tools,10.7,2024
ASM International,NLD,Plasma CVD tools,1.6,2024
ASM International,NLD,High-temperature CVD tools,20.5,2024
ASM International,NLD,Atomic layer deposition tools,52.5,2024
ASM International,NLD,Tube-based diffusion and deposition tools,7.0,2024
ASM International,NLD,Chemical vapor deposition tools,4.2,2024
ASM Pacific,SGP,Fabrication tools (for advanced packaging),2.2,2024
ASM Pacific,SGP,PVD tools (adv. pkg.),3.7,2024
ASM Pacific,SGP,ECP tools (adv. pkg.),8.2,2024
ASM Pacific,SGP,Deposition tools (adv. pkg.),5.0,2024
ASM Pacific,SGP,Die attaching tools for IC,10.7,2024
ASM Pacific,SGP,Die attaching tools for non-IC,33.9,2024
ASM Pacific,SGP,Auto ball bonders for IC,7.7,2024
ASM Pacific,SGP,Auto ball bonders for non-IC,44.0,2024
ASM Pacific,SGP,Automatic wedge bonders,27.2,2024
ASM Pacific,SGP,Wafer level stud bonders,62.2,2024
ASM Pacific,SGP,Assembly inspection tools,12.6,2024
ASM Pacific,SGP,Dicing tools,1.7,2024
ASM Pacific,SGP,Bonding tools,16.5,2024
ASM Pacific,SGP,Die attaching tools,15.3,2024
ASM Pacific,SGP,Wire bonding tools,21.9,2024
ASM Pacific,SGP,Other interconnect tools,6.9,2024
ASM Pacific,SGP,Packaging tools,3.1,2024
ASM Pacific,SGP,Integrated assembly tools,97.8,2024
ASM Pacific,SGP,Handlers and probers,1.4,2024
ASML,NLD,KrF (DUV) lithography tools,79.2,2024
ASML,NLD,i-line lithography tools,35.7,2024
ASML,NLD,Overlay metrology tools,45.1,2024
ASML,NLD,E-beam metrology tools,37.6,2024
ASML,NLD,Lithography tools,78.5,2024
ASML,NLD,EUV lithography tools,100.0,2024
ASML,NLD,ArF dry (DUV) lithography tools,94.3,2024
ASML,NLD,ArF immersion (DUV) lithography tools,98.7,2024
ASML,NLD,Process control tools,5.2,2024
ASTI,SGP,Assembly inspection tools,8.2,2024
AccoTEST,CHN,Test tools,1.9,2024
AccoTEST,CHN,Linear and discrete testing tools,36.9,2024
Accretech,JPN,Dicing tools,8.2,2024
Accretech,JPN,Handlers and probers,19.3,2024
Accretech,JPN,Crystal machining tools,25.5,2024
Advantest,JPN,Test tools,55.6,2024
Advantest,JPN,Memory test tools,62.7,2024
Advantest,JPN,SoC test tools,58.1,2024
Advantest,JPN,Burn-in test tools,14.7,2024
Advantest,JPN,Handlers and probers,2.4,2024
Aehr Test Systems,USA,Burn-in test tools,7.5,2024
Aemulus,MYS,Linear and discrete testing tools,3.8,2024
Aixtron,DEU,Other deposition tools (non-IC),21.4,2024
Aixtron,DEU,Deposition tools,1.3,2024
All Ring Tech,TWN,Assembly inspection tools,1.5,2024
Applied Materials,USA,Dry etching tools (adv. pkg.),14.5,2024
Applied Materials,USA,Dry etch tools,18.5,2024
Applied Materials,USA,Plasma modification tools,86.9,2024
Applied Materials,USA,Fabrication tools (for advanced packaging),28.8,2024
Applied Materials,USA,CVD tools (adv. pkg.),55.0,2024
Applied Materials,USA,PVD tools (adv. pkg.),70.4,2024
Applied Materials,USA,ECP tools (adv. pkg.),19.4,2024
Applied Materials,USA,E-beam metrology tools,49.5,2024
Applied Materials,USA,Defect review stations,71.9,2024
Applied Materials,USA,CMP tools (adv. pkg.),80.8,2024
Applied Materials,USA,Lithography tools (adv. pkg.),17.5,2024
Applied Materials,USA,Deposition tools (adv. pkg.),47.3,2024
Applied Materials,USA,Etch and clean tools (adv. pkg.),9.8,2024
Applied Materials,USA,Direct write systems (adv. pkg.),100.0,2024
Applied Materials,USA,Ion implanters,67.8,2024
Applied Materials,USA,Mask exposure systems - laser beam,61.4,2024
Applied Materials,USA,Deposition tools,44.8,2024
Applied Materials,USA,Plasma CVD tools,57.7,2024
