provider_name,provider_type,country
Intel,organization,USA
AMD,organization,USA
Nvidia,organization,USA
Jingjia Micro,organization,CHN
Loongson,organization,CHN
Zhaoxin,organization,CHN
Phytium,organization,CHN
Efinix,organization,CHN
HiSilicon,organization,CHN
Lattice,organization,USA
Microchip,organization,USA
Achronix,organization,USA
Flex Logic,organization,USA
Google,organization,USA
Cerebras,organization,USA
Tesla,organization,USA
Graphcore,organization,GBR
Cambricon,organization,CHN
Horizon Robotics,organization,CHN
Intellifusion,organization,CHN
Gowin,organization,CHN
Shenzhen Pango,organization,CHN
Sunway,organization,CHN
TSMC,organization,TWN
Samsung,organization,KOR
GlobalFoundries,organization,USA
SMIC,organization,CHN
UMC,organization,TWN
Powerchip,organization,TWN
Hua Hong,organization,CHN
STMicroelectronics,organization,CHE
NXP,organization,NLD
Kioxia,organization,JPN
ASE,organization,TWN
Amkor,organization,USA
JCET,organization,CHN
TongFu,organization,CHN
Tianshui Huatian Technology,organization,CHN
UTAC,organization,SGP
SK Hynix,organization,KOR
Micron,organization,USA
Powertech,organization,TWN
PVA TePla,organization,DEU
JSG,organization,CHN
Accretech,organization,JPN
Okamoto,organization,JPN
Disco,organization,JPN
Meyer Burger,organization,CHE
Toyo,organization,JPN
Lanzhou Rapid Equipment Manufacturing,organization,CHN
Beijing JingYi Century Automatic Equipment,organization,CHN
EV Group,organization,AUT
SUSS MicroTec,organization,DEU
Neutronix,organization,USA
SMEE,organization,CHN
Daifuku,organization,JPN
Rorze,organization,JPN
SEMES,organization,KOR
Muratec,organization,JPN
Gudeng,organization,TWN
RECIF,organization,FRA
Brooks,organization,USA
ESI,organization,USA
Applied Materials,organization,USA
Nissin Ion,organization,JPN
SMIT,organization,JPN
Axcelis,organization,USA
CETC,organization,CHN
Hermes-Epitek,organization,TWN
Kingstone Semiconductor,organization,CHN
ASML,organization,NLD
Nikon,organization,JPN
NuFlare,organization,JPN
JEOL,organization,JPN
Vistec,organization,DEU
Mycronic,organization,SWE
Heidelberg Instruments,organization,DEU
Thermo Fisher,organization,USA
Hitachi,organization,JPN
Zeiss,organization,DEU
Tescan,organization,CZE
HORIBA,organization,JPN
Eurofins,organization,LUX
A&D,organization,JPN
Raith,organization,DEU
FOCUS,organization,DEU
Tokyo Electron,organization,JPN
Screen,organization,JPN
Kingsemi,organization,CHN
Brewer Science,organization,USA
Rite Track,organization,USA
Lam Research,organization,USA
ASM International,organization,NLD
Piotech,organization,CHN
SKY Technology Development,organization,CHN
NAURA,organization,CHN
Kokusai,organization,JPN
ULVAC,organization,JPN
KLA,organization,USA
Mattson Tech,organization,CHN
AP Systems,organization,KOR
Veeco,organization,USA
Grand Process,organization,TWN
AMEC,organization,CHN
Plasma-Therm,organization,USA
SAMCO,organization,JPN
GigaLane,organization,KOR
Charm Engineering,organization,KOR
EBARA,organization,JPN
Hwatsing,organization,CHN
KCTech,organization,KOR
Revasum,organization,USA
Bruker,organization,USA
Rigaku,organization,JPN
Raintree Scientific Instruments (RSIC),organization,CHN
Nanotronics,organization,USA
Onto Innovation,organization,USA
Lasertec,organization,JPN
CAMTEK,organization,ISR
Keysight Tech,organization,USA
Keithley Instruments,organization,USA
Top Engineering,organization,KOR
ASM Pacific,organization,SGP
ASTI,organization,SGP
Koh Young Tech,organization,KOR
Cohu,organization,USA
MIRTEC,organization,KOR
Grand Tec,organization,CHN
Longhill Industries,organization,CHN
SYNOVA,organization,CHN
Besi,organization,NLD
Fasford Tech,organization,JPN
Canon,organization,JPN
