provider_name,provided_name,share_provided,year
ACM Research,Wet etching and cleaning tools,11.4,2024
ACM Research,Etch and clean tools,3.0,2024
AMEC,Dry etching tools (adv. pkg.),18.1,2024
AMEC,Dry etch tools,5.5,2024
AMEC,Fabrication tools (for advanced packaging),2.5,2024
AMEC,Etch and clean tools (adv. pkg.),12.2,2024
AMEC,Low-pressure CVD tools,1.2,2024
AMEC,Dry etching and cleaning tools,5.3,2024
AMEC,Conductor etching tools,1.4,2024
AMEC,Insulator etching tools,9.7,2024
AMEC,Etch and clean tools,3.5,2024
AP Systems,Rapid thermal processing tools,1.2,2024
APIC Yamada,Packaging tools,11.7,2024
ASM International,CVD tools (adv. pkg.),2.8,2024
ASM International,Other deposition tools (non-IC),12.4,2024
ASM International,Deposition tools,10.7,2024
ASM International,Plasma CVD tools,1.6,2024
ASM International,High-temperature CVD tools,20.5,2024
ASM International,Atomic layer deposition tools,52.5,2024
ASM International,Tube-based diffusion and deposition tools,7.0,2024
ASM International,Chemical vapor deposition tools,4.2,2024
ASM Pacific,Fabrication tools (for advanced packaging),2.2,2024
ASM Pacific,PVD tools (adv. pkg.),3.7,2024
ASM Pacific,ECP tools (adv. pkg.),8.2,2024
ASM Pacific,Deposition tools (adv. pkg.),5.0,2024
ASM Pacific,Die attaching tools for IC,10.7,2024
ASM Pacific,Die attaching tools for non-IC,33.9,2024
ASM Pacific,Auto ball bonders for IC,7.7,2024
ASM Pacific,Auto ball bonders for non-IC,44.0,2024
ASM Pacific,Automatic wedge bonders,27.2,2024
ASM Pacific,Wafer level stud bonders,62.2,2024
ASM Pacific,Assembly inspection tools,12.6,2024
ASM Pacific,Dicing tools,1.7,2024
ASM Pacific,Bonding tools,16.5,2024
ASM Pacific,Die attaching tools,15.3,2024
ASM Pacific,Wire bonding tools,21.9,2024
ASM Pacific,Other interconnect tools,6.9,2024
ASM Pacific,Packaging tools,3.1,2024
ASM Pacific,Integrated assembly tools,97.8,2024
ASM Pacific,Handlers and probers,1.4,2024
ASML,KrF (DUV) lithography tools,79.2,2024
ASML,i-line lithography tools,35.7,2024
ASML,Overlay metrology tools,45.1,2024
ASML,E-beam metrology tools,37.6,2024
ASML,Lithography tools,78.5,2024
ASML,EUV lithography tools,100.0,2024
ASML,ArF dry (DUV) lithography tools,94.3,2024
ASML,ArF immersion (DUV) lithography tools,98.7,2024
ASML,Process control tools,5.2,2024
ASTI,Assembly inspection tools,8.2,2024
AUT,Wafer bonding and aligning tools,55.6,2024
AUT,Imprint lithography,87.5,2024
AUT,Fabrication tools (for advanced packaging),4.9,2024
AUT,Mask aligners,4.3,2024
AUT,Lithography tools,1.6,2024
AUT,Mask exposure systems - e-beam,46.4,2024
AUT,Wet etching and cleaning tools,0.1,2024
AUT,Etch and clean tools,0.0,2024
AccoTEST,Test tools,1.9,2024
AccoTEST,Linear and discrete testing tools,36.9,2024
Accretech,Dicing tools,8.2,2024
Accretech,Handlers and probers,19.3,2024
Accretech,Crystal machining tools,25.5,2024
Advantest,Test tools,55.6,2024
Advantest,Memory test tools,62.7,2024
Advantest,SoC test tools,58.1,2024
Advantest,Burn-in test tools,14.7,2024
Advantest,Handlers and probers,2.4,2024
Aehr Test Systems,Burn-in test tools,7.5,2024
Aemulus,Linear and discrete testing tools,3.8,2024
Aixtron,Other deposition tools (non-IC),21.4,2024
Aixtron,Deposition tools,1.3,2024
All Ring Tech,Assembly inspection tools,1.5,2024
Applied Materials,Dry etching tools (adv. pkg.),14.5,2024
Applied Materials,Dry etch tools,18.5,2024
Applied Materials,Plasma modification tools,86.9,2024
Applied Materials,Fabrication tools (for advanced packaging),28.8,2024
Applied Materials,CVD tools (adv. pkg.),55.0,2024
Applied Materials,PVD tools (adv. pkg.),70.4,2024
Applied Materials,ECP tools (adv. pkg.),19.4,2024
Applied Materials,E-beam metrology tools,49.5,2024
Applied Materials,Defect review stations,71.9,2024
Applied Materials,CMP tools (adv. pkg.),80.8,2024
Applied Materials,Lithography tools (adv. pkg.),17.5,2024
Applied Materials,Deposition tools (adv. pkg.),47.3,2024
Applied Materials,Etch and clean tools (adv. pkg.),9.8,2024
Applied Materials,Direct write systems (adv. pkg.),100.0,2024
Applied Materials,Ion implanters,67.8,2024
Applied Materials,Mask exposure systems - laser beam,61.4,2024
Applied Materials,Deposition tools,44.8,2024
Applied Materials,Plasma CVD tools,57.7,2024
Applied Materials,Low-pressure CVD tools,18.9,2024
Applied Materials,High-temperature CVD tools,73.4,2024
Applied Materials,Atomic layer deposition tools,4.0,2024
Applied Materials,Physical vapor deposition tools,85.6,2024
Applied Materials,Rapid thermal processing tools,74.2,2024
Applied Materials,Chemical vapor deposition tools,52.8,2024
Applied Materials,Dry etching and cleaning tools,18.0,2024
Applied Materials,Conductor etching tools,32.8,2024
Applied Materials,Etch and clean tools,13.4,2024
Applied Materials,Process control tools,10.5,2024
