Country,Economic activity,Year,Investment amount,Unit of measure
Korea,Manufacture of electronic components and boards,2021,11914575000000,National currency
Korea,"Manufacture of computer, electronic and optical products",2021,39873978000000,National currency
Germany,Manufacture of electronic components and boards,2021,1871030000,National currency
Germany,"Manufacture of computer, electronic and optical products",2021,9034391000,National currency
France,"Manufacture of computer, electronic and optical products",2021,3904634000,National currency
France,Manufacture of electronic components and boards,2021,1256248000,National currency
Chinese Taipei,"Manufacture of computer, electronic and optical products",2021,540389030365,National currency
Chinese Taipei,Manufacture of electronic components and boards,2021,401800777093,National currency
Japan,"Manufacture of computer, electronic and optical products",2021,2424810000000,National currency
Japan,Manufacture of electronic components and boards,2021,1096429000000,National currency
United States,"Manufacture of computer, electronic and optical products",2021,104948000000,National currency
United States,Manufacture of electronic components and boards,2021,49934000000,National currency
China (People’s Republic of),"Manufacture of computer, electronic and optical products",2021,389106068000,National currency
Korea,Manufacture of electronic components and boards,2019,9224359000000,National currency
Korea,"Manufacture of computer, electronic and optical products",2019,36305437000000,National currency
Germany,Manufacture of electronic components and boards,2019,1831500000,National currency
Germany,"Manufacture of computer, electronic and optical products",2019,8721300000,National currency
Chinese Taipei,"Manufacture of computer, electronic and optical products",2019,400723970384,National currency
Chinese Taipei,Manufacture of electronic components and boards,2019,279551838573,National currency
Japan,"Manufacture of computer, electronic and optical products",2019,2654761000000,National currency
Japan,Manufacture of electronic components and boards,2019,806661000000,National currency
United States,"Manufacture of computer, electronic and optical products",2019,87128000000,National currency
United States,Manufacture of electronic components and boards,2019,35096000000,National currency
China (People’s Republic of),"Manufacture of computer, electronic and optical products",2019,267716906000,National currency
Korea,"Manufacture of computer, electronic and optical products",2020,36468472000000,National currency
Korea,Manufacture of electronic components and boards,2020,9930197000000,National currency
Chinese Taipei,Manufacture of electronic components and boards,2020,324053313267,National currency
Chinese Taipei,"Manufacture of computer, electronic and optical products",2020,453548381235,National currency
Japan,Manufacture of electronic components and boards,2020,1155721000000,National currency
Japan,"Manufacture of computer, electronic and optical products",2020,2884202000000,National currency
Germany,"Manufacture of computer, electronic and optical products",2020,8657000000,National currency
United States,Manufacture of electronic components and boards,2020,43952000000,National currency
United States,"Manufacture of computer, electronic and optical products",2020,100980000000,National currency
China (People’s Republic of),"Manufacture of computer, electronic and optical products",2020,320886783000,National currency
United States,Manufacture of electronic components and boards,2018,31331000000,National currency
United States,"Manufacture of computer, electronic and optical products",2018,85489000000,National currency
China (People’s Republic of),"Manufacture of computer, electronic and optical products",2018,250311903000,National currency
Germany,"Manufacture of computer, electronic and optical products",2018,8280600000,National currency
Germany,Manufacture of electronic components and boards,2018,1693200000,National currency
Japan,Manufacture of electronic components and boards,2018,852288000000,National currency
Japan,"Manufacture of computer, electronic and optical products",2018,2769757000000,National currency
Chinese Taipei,Manufacture of electronic components and boards,2018,252263351747,National currency
Chinese Taipei,"Manufacture of computer, electronic and optical products",2018,364288955948,National currency
Korea,"Manufacture of computer, electronic and optical products",2018,35559551000000,National currency
Korea,Manufacture of electronic components and boards,2018,9011165000000,National currency
United Kingdom,"Manufacture of computer, electronic and optical products",2022,1800930000,National currency
United States,Manufacture of electronic components and boards,2022,51558000000,National currency
United States,"Manufacture of computer, electronic and optical products",2022,107469000000,National currency
China (People’s Republic of),"Manufacture of computer, electronic and optical products",2022,445402612000,National currency
Japan,Manufacture of electronic components and boards,2022,1231097000000,National currency
Japan,"Manufacture of computer, electronic and optical products",2022,2404024000000,National currency
Chinese Taipei,Manufacture of electronic components and boards,2022,456153424458,National currency
Chinese Taipei,"Manufacture of computer, electronic and optical products",2022,608727045478,National currency
Korea,"Manufacture of computer, electronic and optical products",2022,44251785600000,National currency
Korea,Manufacture of electronic components and boards,2022,13590656300000,National currency
France,Manufacture of electronic components and boards,2018,1063461363,National currency
France,"Manufacture of computer, electronic and optical products",2018,3733807821,National currency
France,Manufacture of electronic components and boards,2020,1239678432,National currency
France,"Manufacture of computer, electronic and optical products",2020,3954629692,National currency
France,"Manufacture of computer, electronic and optical products",2019,3912889506,National currency
France,Manufacture of electronic components and boards,2019,1165522934,National currency
Germany,Manufacture of electronic components and boards,2020,1822872206,National currency
