0,1,2,3,4,5,6,7,8,9,10,11
TABLE 3,,,,,,,,,,,
"ARSENIC TRIOXIDE: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2",,,,,,,,,,,
,,,,,,,,,,,
"(Metric tons, gross weight)",,,,,,,,,,,
,,,,,,,,,,,
Country or locality3,,2019.0,,2020.0,,2021.0,,2022.0,,2023,
Belgiume,,1000.0,,1000.0,,1000.0,,1000.0,,1000,
Bolivia,,126.0,,50.0,,100.0,,35.0,r,--,
Chinae,,24000.0,,24000.0,,24000.0,,24000.0,,24000,
Japane,,45.0,,40.0,,40.0,,40.0,,40,
Morocco,,5055.0,,7694.0,,6883.0,,5450.0,r,6000,e
Peru,,35000.0,,27000.0,,30000.0,"r, e",30000.0,"r, e",30000,e
Russia,,2226.0,,500.0,,800.0,e,500.0,e,500,e
Total,,67500.0,,60300.0,,62800.0,r,61000.0,r,61500,
eEstimated.  rRevised.  -- Zero.,,,,,,,,,,,
"1Table includes data available through April 15, 2024. All data are reported unless otherwise noted; totals may include estimated data. Totals and estimated data are rounded to no more than three significant digits; may not add to totals shown.",,,,,,,,,,,
2Includes calculated arsenic trioxide equivalent of output of elemental arsenic compounds other than arsenic trioxide; inclusion of such materials would not duplicate reported arsenic trioxide production.,,,,,,,,,,,
"3In addition to the countries and (or) localities listed, Germany and other countries or localities may have produced arsenic, but available information was inadequate to make reliable estimates of output.",,,,,,,,,,,
