0,1,2,3,4,5,6,7,8,9,10,11
TABLE 7,,,,,,,,,,,
"GALLIUM: PRIMARY WORLD PRODUCTION, BY COUNTRY OR LOCALITY1",,,,,,,,,,,
,,,,,,,,,,,
(Kilograms),,,,,,,,,,,
,,,,,,,,,,,
Country or locality,,2019,,2020,,2021.0,,2022,,2023,
China,,338000,,336400,,423000.0,,524000,r,621000,
Japan,,3000,,3000,,3000.0,,3000,e,3000,e
Russiae,,8000,,5000,,8000.0,r,6000,r,6000,
Ukrainee,,--,,--,,1000.0,,--,,--,
Total,,349000,r,344000,r,435000.0,r,533000,r,630000,
eEstimated.  rRevised.  -- Zero.,,,,,,,,,,,
"1Table includes data available through May 8, 2024. All data are reported unless otherwise noted, totals may include estimated data. Totals and estimated data are rounded to no more than three significant digits; may not add to totals shown.",,,,,,,,,,,
