0,1,2,3,4,5,6,7,8,9,10,11
TABLE 1,,,,,,,,,,,
SALIENT GERMANIUM STATISTICS1,,,,,,,,,,,
,,,,,,,,,,,
(Kilograms unless otherwise specified),,,,,,,,,,,
,,,,,,,,,,,
,,,2019.0,,2020.0,,2021.0,,2022.0,,2023.0
United States:,,,,,,,,,,,
Refinery production                   ,,,,,,,,,,,
"Imports for consumption:e, 2",,,,,,,,,,,
Germanium metal,,,14000.0,,14000.0,,13000.0,,14000.0,r,22000.0
"Germanium dioxide, Ge content",,,21000.0,,12000.0,r,17000.0,,15000.0,,14000.0
"Total, Ge content",,,35000.0,,26000.0,,30000.0,,30000.0,,36000.0
"Exports:e, 2",,,,,,,,,,,
Germanium metal,,,3900.0,,4000.0,,5500.0,,6600.0,,6000.0
"Germanium dioxide, Ge content",,,610.0,,810.0,,430.0,,130.0,,110.0
"Total, Ge content",,,4500.0,,4900.0,r,5900.0,,6700.0,,6100.0
"Consumption, Ge contente, 3",,,30000.0,,30000.0,,30000.0,,,,
"Stocks, December 31, U.S. Government4",,,14000.0,,14000.0,,14000.0,,14000.0,,
"Price, average:",,,,,,,,,,,
"U.S. import, unwrought germanium metale, 5",dollars per kilogram,,1235.0,,1083.0,,1196.0,,1361.0,,1334.0
Europe:6,,,,,,,,,,,
Germanium metal,do.,,1236.0,,1046.0,,1187.0,,1294.0,,1392.0
Germanium dioxide,do.,,913.0,,724.0,,770.0,,828.0,,883.0
"World, refinery production:e",,,,,,,,,,,
China,,,85700.0,,95000.0,,,,,,
Russia,,,5000.0,,5000.0,,,,,,
Other7,,,40000.0,,40000.0,,,,,,
Total         ,,,131000.0,,140000.0,,,,,,
eEstimated.  rRevised.  do. Ditto.  NA Not available. ,,,,,,,,,,,
"1Table includes data available through April 30, 2024. Data are rounded to no more than two significant digits, except “Price, average” and “World, refinery production”; may not add to totals shown.",,,,,,,,,,,
2Data have been adjusted to exclude low-value shipments.,,,,,,,,,,,
3Estimated consumption of metal and germanium dioxide (germanium content).   ,,,,,,,,,,,
4Defense Logistics Agency Strategic Materials. Data are uncommitted germanium metal only. ,,,,,,,,,,,
5U.S. customs unit value. Excludes low-value trade.,,,,,,,,,,,
"6Source: Argus Media group, Argus Non-Ferrous Markets.",,,,,,,,,,,
"7Includes Belgium, Canada, Germany, and other countries or localities. Does not include U.S. production.",,,,,,,,,,,
