0,1,2,3,4,5,6,7,8,9,10,11
TABLE 8,,,,,,,,,,,
"FERROSILICON AND SILICON METAL: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2",,,,,,,,,,,
,,,,,,,,,,,
"(Metric tons, gross weight)",,,,,,,,,,,
,,,,,,,,,,,
Country or locality3,,2019,,2020,,2021,,2022,,2023,
"Argentina, ferrosilicone",,13000,,11200,,13000,,12500,,12500,
"Australia, silicon metale",,49000,,43000,,51000,,49000,,40000,
"Bhutan, ferrosilicon4",,138651,,103488,,130103,,115718,,126891,
Bosnia and Herzegovina:,,,,,,,,,,,
Ferrosilicone,,4000,r,1000,r,4000,r,4000,r,400,
Silicon metal,,31911,,14641,,35919,,24859,r,2000,e
Brazil:,,,,,,,,,,,
Ferrosilicone,,270000,,320000,,300000,,290000,,293000,
Silicon metale,,200000,,190000,,198000,,206000,,200000,
Canada:,,,,,,,,,,,
Ferrosilicone,,37000,,34000,,30000,,40000,r,35000,
Silicon metale,,34000,,25000,,30000,,40000,r,30000,
China:,,,,,,,,,,,
Ferrosilicon,,5490000,,5320000,,5860000,,5940000,r,5600000,e
Silicon metal,,2248900,,2100000,,2910000,r,3503300,r,3700000,e
"Egypt, ferrosilicone, 5",,60500,,60000,,60000,,60000,,60000,
France:,,,,,,,,,,,
Ferrosilicone,,48000,,41000,,44000,,38000,,36000,
Silicon metale,,105000,,87000,,100000,,98000,,92000,
"Germany, silicon metal",,--,,64365,,64000,e,63000,e,60000,e
Iceland:,,,,,,,,,,,
Ferrosilicon,,120255,,128187,,123800,,121509,,112601,
Silicon metal,,28396,,27903,,28007,,49759,,24228,
"India, ferrosilicone",,93000,,90000,,90000,,90000,,90000,
Kazakhstan:,,,,,,,,,,,
Ferrosilicon,,79930,,180645,,148023,,180399,r,196000,e
Silicon metal,,13000,e,5000,e,6000,r,7200,r,7000,e
"Korea, North, ferrosilicone",,46000,,16000,,37000,,37000,r,36000,
"Korea, Republic of, ferrosilicone",,30000,,29000,,30000,,29000,,28000,
"Laos, silicon metal6",,4600,,970,r,1100,e,13000,r,8500,
"Malaysia, ferrosilicon",,230735,,167443,,131059,,140355,,139529,
"North Macedonia, ferrosilicon",,117,,--,e,--,e,--,e,--,e
Norway:,,,,,,,,,,,
Ferrosilicone,,350000,,320000,,330000,,300000,,270000,
Silicon metale,,150000,,143000,,150000,,147000,,125000,
"Paraguay, ferrosilicone",,10000,,10000,,9000,,8700,,9000,
"Poland, ferrosilicon",,65523,,61709,,73370,,51371,r,51000,e
Russia:,,,,,,,,,,,
Ferrosilicon,,846579,,880401,,880000,,842657,r,728423,
Silicon metale,,59300,,56500,,60000,,55000,,55000,
Slovakia:,,,,,,,,,,,
Ferrosilicon,,38060,,37372,,41811,,21574,r,22000,e
Silicon metal,,--,,--,,2000,r,600,"r, e",600,e
South Africa:,,,,,,,,,,,
Ferrosilicon,,90000,,51000,e,55000,e,60000,e,57000,e
Silicon metale,,33000,,--,,--,,2300,,13000,
Spain:,,,,,,,,,,,
Ferrosilicone,,90000,,77000,,83000,,71000,,67000,
Silicon metale,,7500,,5000,,5800,,5700,,5400,
"Turkey, ferrosilicon",,1938,7,1706,7,455,7,--,,--,e
"Ukraine, ferrosilicon",,62560,,60800,,87600,,21600,r,9300,e
"United States, total silicon materials8",,419000,,W,,W,,W,,W,
Total,,11600000,,10800000,9,12200000,"r, 9",12700000,"r, 9",12300000,9
Of which:,,,,,,,,,,,
Ferrosilicon10,,8220000,,8000000,,8560000,,8480000,r,7980000,
Silicon metal11,,2960000,,2760000,,3640000,r,4260000,r,4360000,
U.S. total silicon materials8,,419000,,W,,W,,W,,W,
eEstimated.  rRevised.  W Withheld to avoid disclosing company propriety data.  -- Zero.,,,,,,,,,,,
"1Table includes data available through July 1, 2024. All data are reported unless otherwise noted, totals may include estimated data. Totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.",,,,,,,,,,,
2Does not include semiconductor and solar grades of silicon metal.,,,,,,,,,,,
"3In addition to the countries and (or) localities listed, Iran and Uruguay may have produced ferrosilicon and Thailand may have produced silicon metal, but available information was inadequate to make reliable estimates of output.",,,,,,,,,,,
4Imports received by all countries from Bhutan. Source: UN Comtrade.,,,,,,,,,,,
"5Production is based on fiscal year, with a starting date of July 1 of the year shown.",,,,,,,,,,,
6Imports received by all countries from Laos. Source: UN Comtrade.,,,,,,,,,,,
7Imports received by all countries from Turkey. Source: UN Comtrade.,,,,,,,,,,,
"8Includes total U.S. gross production of ferrosilicon and silicon metal. In previous reports USGS Minerals Yearbook chapters, U.S. production was reported as net production.",,,,,,,,,,,
9Does not include U.S. production.,,,,,,,,,,,
10Does not include U.S. production of ferrosilicon.,,,,,,,,,,,
11Does not include U.S. production of silicon metal.,,,,,,,,,,,
