STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,CRITERIA,Classification criteria,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base year
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,11914575000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,KOR,Korea,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,39873978000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,1871030000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,DEU,Germany,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,9034391000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,3904634000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,FRA,France,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,1256248000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,540389030365,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,TWN,Chinese Taipei,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,401800777093,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,2424810000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,JPN,Japan,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,1096429000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C26,"Manufacture of computer, electronic and optical products",XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,104948000000,,,,0,Units,0,Zero,,
DATAFLOW,OECD.STI.STP:DSD_ANBERD@DF_ANBERDi4(1.0),Analytical Business Enterprise R&D by ISIC Rev.4 industry (ANBERD database),I,USA,United States,A,Annual,MA,Main activity,C261,Manufacture of electronic components and boards,XDC,National currency,V,Current prices,B,Business Enterprise Expenditure on R&D (BERD),2021,,49934000000,,,,0,Units,0,Zero,,
